K00001	 green
K03658	 red
K03818	 red
K04073	 red
K04102	 red
K05818	 red
K06075	 red
K06446	 red
K06606	 red
K07133	 red
K07452	 red
K07482	 red
K07486	 red
K09921	 red
K10216	 red
K10538	 red
K10620	 red
K10621	 red
K10680	 red
K10979	 red
K11731	 red
K11930	 red
K12452	 red
K12508	 red
K13312	 red
K13316	 red
K14060	 red
K15054	 red
K15736	 red
K16163	 red
K16303	 red
K16438	 red
K16871	 red
K17214	 red
K17754	 red
K18092	 red
K19147	 red
K19155	 red
K19156	 red
K19180	 red
K20036	 red
K20444	 red
K20533	 red
K20539	 red
K20971	 red
K21699	 red
K21832	 red
K22187	 red
K22209	 red
K22270	 red
K22293	 red
K00039	 blue
K00242	 blue
K00370	 blue
K00371	 blue
K00373	 blue
K00374	 blue
K00459	 blue
K00612	 blue
K00784	 blue
K00875	 blue
K01039	 blue
K01040	 blue
K01138	 blue
K01153	 blue
K01154	 blue
K01628	 blue
K01953	 blue
K02005	 blue
K02461	 blue
K02575	 blue
K03427	 blue
K03435	 blue
K06919	 blue
K07234	 blue
K07322	 blue
K07451	 blue
K07498	 blue
K09771	 blue
K09951	 blue
K09952	 blue
K09997	 blue
K10543	 blue
K10544	 blue
K12132	 blue
K13010	 blue
K13642	 blue
K13668	 blue
K15342	 blue
K15773	 blue
K16299	 blue
K16300	 blue
K18098	 blue
K18930	 blue
K20431	 blue
